strategy,refresh_lag,metric,statistic,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
snapkv,32,stale_delta_nll,mean,0.31259596817915136,0.096142975031723,0.6033748351697595,15,45,95% sample-cluster bootstrap CI
snapkv,40,stale_delta_nll,mean,0.4229108983672538,0.04938753473851444,1.0050886396794796,15,45,95% sample-cluster bootstrap CI
snapkv,48,stale_delta_nll,mean,0.38149067496967093,0.08339758362045574,0.8035064492955695,15,45,95% sample-cluster bootstrap CI
snapkv,64,stale_delta_nll,mean,0.5007296081428525,0.2117522100485977,0.8161171145145498,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,1,stale_delta_nll,mean,0.3318322418384874,0.007233561803629011,0.7103375094647154,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,8,stale_delta_nll,mean,0.39130780623633415,0.11858527246946142,0.723393525472598,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,16,stale_delta_nll,mean,0.42291921349253775,0.0647064226110906,0.9410079343623847,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,24,stale_delta_nll,mean,0.4486490059387579,0.1345466129605245,0.9358001153648664,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,32,stale_delta_nll,mean,0.34153918199834565,0.11768902683819782,0.6559697559926227,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,40,stale_delta_nll,mean,0.5158249818444153,0.0755311982857268,1.185986568812833,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,48,stale_delta_nll,mean,0.542987631026114,0.1265257668302956,1.0664744052408839,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,64,stale_delta_nll,mean,0.47759238145924904,0.19181198188767914,0.8289757398111649,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,1,refresh_benefit_delta_nll,median,1.0606774594634771e-05,-2.3835746105760336e-06,0.00012584621435962617,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,8,refresh_benefit_delta_nll,median,3.5762059269472957e-07,-0.003035128116607666,0.0067795440554618835,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,16,refresh_benefit_delta_nll,median,0.004446557490155101,0.0003781610867008567,0.034360066056251526,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,24,refresh_benefit_delta_nll,median,0.003764525055885315,1.3231878256192431e-05,0.03817698359489441,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,32,refresh_benefit_delta_nll,median,0.01673118770122528,3.76690704797511e-05,0.060675377026200294,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,40,refresh_benefit_delta_nll,median,0.022447828203439713,0.0013734857784584165,0.10231605172157288,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,48,refresh_benefit_delta_nll,median,0.02635669708251953,0.003449906111927704,0.0669252872467041,15,45,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,64,refresh_benefit_delta_nll,median,0.04856030084192753,0.0019436650909483433,0.22165513038635254,15,45,95% sample-cluster bootstrap CI
snapkv,1,refresh_benefit_delta_nll,median,1.1920906217710581e-07,-0.00011735819862224162,9.297509677708149e-06,15,45,95% sample-cluster bootstrap CI
snapkv,8,refresh_benefit_delta_nll,median,-3.265951090725139e-05,-0.0034943828359246254,1.1916999937966466e-05,15,45,95% sample-cluster bootstrap CI
snapkv,16,refresh_benefit_delta_nll,median,0.0005589302163571119,2.9765069484710693e-06,0.0038169436156749725,15,45,95% sample-cluster bootstrap CI
snapkv,24,refresh_benefit_delta_nll,median,0.004576360806822777,1.3112685337546282e-05,0.034049978479743004,15,45,95% sample-cluster bootstrap CI
snapkv,32,refresh_benefit_delta_nll,median,0.009075255133211613,0.0022466331720352173,0.12424039840698242,15,45,95% sample-cluster bootstrap CI
snapkv,40,refresh_benefit_delta_nll,median,0.015076791867613792,3.35472250753858e-05,0.08501502871513367,15,45,95% sample-cluster bootstrap CI
snapkv,48,refresh_benefit_delta_nll,median,0.019402175676077604,8.821077335596783e-05,0.14972740411758423,15,45,95% sample-cluster bootstrap CI
snapkv,64,refresh_benefit_delta_nll,median,0.08665288425981998,0.0007118779212760273,0.24744120240211487,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,1,refresh_benefit_delta_nll,median,2.0979263354092836e-05,-5.363021045923233e-06,0.002032235264778137,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,8,refresh_benefit_delta_nll,median,1.3110198779031634e-05,-0.008122123777866364,0.023299098014831543,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,16,refresh_benefit_delta_nll,median,9.486351336818188e-05,-0.0014127548784017563,0.005244659259915352,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,24,refresh_benefit_delta_nll,median,0.02267500013113022,0.0026332736015319824,0.09619437158107758,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,32,refresh_benefit_delta_nll,median,0.009047050029039383,3.445055972406408e-05,0.16829165816307068,15,45,95% sample-cluster bootstrap CI
v_ridge_leverage,40,refresh_benefit_delta_nll,median,0.009220626205205917,0.00029821181669831276,0.04007826745510101,15,45,95% sample-cluster bootstrap CI
